workload,mode,mean_ms
parse-lt_sm,funnel.sh.arrv.push,5.83
wide_sm,funnel.sh.arrv.push,6.84
xform_sm,funnel.sh.arrv.push,9.74
aggr_sm,funnel.sh.fin.batch,11.17
bal_sm,funnel.sh.fin.batch,18.84
deep_sm,funnel.sh.fin.batch,7.01
fin_sm,funnel.sh.fin.batch,8.55
graph-hv_sm,funnel.sh.fin.batch,20.58
graph-io_sm,funnel.sh.fin.batch,12.98
hash_sm,funnel.sh.fin.batch,1.02
io_sm,funnel.sh.fin.batch,6.15
lg-dense_sm,funnel.sh.fin.batch,15.44
noop_sm,funnel.sh.fin.batch,0.07
parse-hv_sm,funnel.sh.fin.batch,22.80
parse-lt_sm,funnel.sh.fin.batch,6.13
wide_sm,funnel.sh.fin.batch,7.62
xform_sm,funnel.sh.fin.batch,9.92
aggr_sm,funnel.sh.fin.k2,12.63
bal_sm,funnel.sh.fin.k2,18.63
deep_sm,funnel.sh.fin.k2,7.00
fin_sm,funnel.sh.fin.k2,8.54
graph-hv_sm,funnel.sh.fin.k2,20.40
graph-io_sm,funnel.sh.fin.k2,11.56
hash_sm,funnel.sh.fin.k2,1.00
io_sm,funnel.sh.fin.k2,6.01
lg-dense_sm,funnel.sh.fin.k2,16.33
noop_sm,funnel.sh.fin.k2,0.09
parse-hv_sm,funnel.sh.fin.k2,22.20
parse-lt_sm,funnel.sh.fin.k2,6.06
wide_sm,funnel.sh.fin.k2,7.42
xform_sm,funnel.sh.fin.k2,9.90
aggr_sm,funnel.sh.fin.k4,12.23
bal_sm,funnel.sh.fin.k4,18.75
deep_sm,funnel.sh.fin.k4,7.00
fin_sm,funnel.sh.fin.k4,8.56
graph-hv_sm,funnel.sh.fin.k4,18.47
graph-io_sm,funnel.sh.fin.k4,12.22
hash_sm,funnel.sh.fin.k4,0.99
io_sm,funnel.sh.fin.k4,6.02
lg-dense_sm,funnel.sh.fin.k4,16.32
noop_sm,funnel.sh.fin.k4,0.07
parse-hv_sm,funnel.sh.fin.k4,22.40
parse-lt_sm,funnel.sh.fin.k4,6.10
wide_sm,funnel.sh.fin.k4,7.41
xform_sm,funnel.sh.fin.k4,9.91
aggr_sm,funnel.sh.fin.push,11.42
bal_sm,funnel.sh.fin.push,16.90
deep_sm,funnel.sh.fin.push,6.98
fin_sm,funnel.sh.fin.push,8.58
graph-hv_sm,funnel.sh.fin.push,18.12
graph-io_sm,funnel.sh.fin.push,11.50
hash_sm,funnel.sh.fin.push,1.01
io_sm,funnel.sh.fin.push,5.80
lg-dense_sm,funnel.sh.fin.push,18.78
noop_sm,funnel.sh.fin.push,0.07
parse-hv_sm,funnel.sh.fin.push,22.03
parse-lt_sm,funnel.sh.fin.push,6.00
wide_sm,funnel.sh.fin.push,7.44
xform_sm,funnel.sh.fin.push,9.89
aggr_sm,hand.rayon,13.70
bal_sm,hand.rayon,15.92
deep_sm,hand.rayon,7.19
fin_sm,hand.rayon,8.70
graph-hv_sm,hand.rayon,17.67
graph-io_sm,hand.rayon,11.38
hash_sm,hand.rayon,0.97
io_sm,hand.rayon,5.77
lg-dense_sm,hand.rayon,16.10
noop_sm,hand.rayon,0.03
parse-hv_sm,hand.rayon,21.71
parse-lt_sm,hand.rayon,5.90
wide_sm,hand.rayon,6.60
xform_sm,hand.rayon,9.12
aggr_sm,rayon,13.09
bal_sm,rayon,15.56
deep_sm,rayon,7.19
fin_sm,rayon,8.23
graph-hv_sm,rayon,17.83
graph-io_sm,rayon,11.47
hash_sm,rayon,1.00
io_sm,rayon,5.79
lg-dense_sm,rayon,16.11
noop_sm,rayon,0.03
parse-hv_sm,rayon,21.78
parse-lt_sm,rayon,5.89
wide_sm,rayon,7.81
xform_sm,rayon,9.44
aggr_sm,real.rayon,13.83
bal_sm,real.rayon,18.25
deep_sm,real.rayon,7.19
fin_sm,real.rayon,8.71
graph-hv_sm,real.rayon,17.83
graph-io_sm,real.rayon,12.49
hash_sm,real.rayon,0.97
io_sm,real.rayon,5.79
lg-dense_sm,real.rayon,16.11
noop_sm,real.rayon,0.03
parse-hv_sm,real.rayon,20.50
parse-lt_sm,real.rayon,5.89
wide_sm,real.rayon,7.78
xform_sm,real.rayon,9.30
